"x"
"140"	"ENSMUSG00000008540.5"
"141"	"ENSMUSG00000008601.6"
"142"	"ENSMUSG00000008682.7"
"143"	"ENSMUSG00000009090.11"
"144"	"ENSMUSG00000009418.9"
"145"	"ENSMUSG00000009628.8"
"146"	"ENSMUSG00000009670.5"
"147"	"ENSMUSG00000009863.8"
"148"	"ENSMUSG00000009927.8"
"149"	"ENSMUSG00000010066.9"
"150"	"ENSMUSG00000010529.5"
"151"	"ENSMUSG00000010651.4"
"152"	"ENSMUSG00000010797.2"
"153"	"ENSMUSG00000011118.3"
"154"	"ENSMUSG00000011148.7"
"155"	"ENSMUSG00000011179.7"
"156"	"ENSMUSG00000011256.10"
"157"	"ENSMUSG00000011589.8"
"158"	"ENSMUSG00000011884.7"
"159"	"ENSMUSG00000012296.9"
"160"	"ENSMUSG00000012350.9"
"161"	"ENSMUSG00000012428.8"
"162"	"ENSMUSG00000012520.8"
"163"	"ENSMUSG00000012848.8"
"164"	"ENSMUSG00000013367.4"
"165"	"ENSMUSG00000013584.5"
"166"	"ENSMUSG00000013936.6"
"167"	"ENSMUSG00000014039.11"
"168"	"ENSMUSG00000014226.5"
"169"	"ENSMUSG00000014294.4"
"170"	"ENSMUSG00000014313.8"
"171"	"ENSMUSG00000014602.9"
"172"	"ENSMUSG00000014603.1"
"173"	"ENSMUSG00000014846.6"
"174"	"ENSMUSG00000015053.8"
"175"	"ENSMUSG00000015127.8"
"176"	"ENSMUSG00000015217.5"
"177"	"ENSMUSG00000015243.4"
"178"	"ENSMUSG00000015305.5"
"179"	"ENSMUSG00000015355.7"
"180"	"ENSMUSG00000015365.9"
"181"	"ENSMUSG00000015377.9"
"182"	"ENSMUSG00000015401.6"
"183"	"ENSMUSG00000015405.9"
"184"	"ENSMUSG00000015533.8"
"185"	"ENSMUSG00000015619.10"
"186"	"ENSMUSG00000015671.10"
"187"	"ENSMUSG00000015672.3"
"188"	"ENSMUSG00000015709.8"
"189"	"ENSMUSG00000015950.7"
"190"	"ENSMUSG00000015957.5"
"191"	"ENSMUSG00000016028.9"
"192"	"ENSMUSG00000016194.8"
"193"	"ENSMUSG00000016252.7"
"194"	"ENSMUSG00000016262.8"
"195"	"ENSMUSG00000016327.3"
"196"	"ENSMUSG00000016349.10"
"197"	"ENSMUSG00000016356.11"
"198"	"ENSMUSG00000016382.9"
"199"	"ENSMUSG00000016427.7"
"200"	"ENSMUSG00000016458.7"
"201"	"ENSMUSG00000016756.10"
"202"	"ENSMUSG00000016757.4"
"203"	"ENSMUSG00000016918.9"
"204"	"ENSMUSG00000016995.11"
"205"	"ENSMUSG00000017057.9"
"206"	"ENSMUSG00000017146.6"
"207"	"ENSMUSG00000017165.1"
"208"	"ENSMUSG00000017344.4"
"209"	"ENSMUSG00000017390.9"
"210"	"ENSMUSG00000017412.9"
"211"	"ENSMUSG00000017677.5"
"212"	"ENSMUSG00000017723.5"
"213"	"ENSMUSG00000017737.2"
"214"	"ENSMUSG00000017756.8"
"215"	"ENSMUSG00000017778.8"
"216"	"ENSMUSG00000017817.5"
"217"	"ENSMUSG00000018166.8"
"218"	"ENSMUSG00000018339.5"
"219"	"ENSMUSG00000018362.8"
"220"	"ENSMUSG00000018401.11"
"221"	"ENSMUSG00000018451.6"
